Booking_ID,Booking_Date,Booking_Time,City,Vehicle_Type,Ride_Status,Pickup_Location,Drop_Location,Distance_KM,Trip_Duration_Min,Fare_Amount_INR,Surge_Multiplier,Payment_Method,Customer_Rating,Driver_Rating,Driver_ID,Customer_ID,Month,Day_of_Week,Hour,Revenue_Status
UBR100015,2025-02-26,14:25:00,Mumbai,Uber Go,Completed,Andheri,Borivali,18.39,68,288.64,1.0,Debit Card,4.4,4.3,DRV8365,CUS36272,February,Wednesday,14,Revenue
UBR100016,2025-03-16,16:24:00,Bengaluru,Uber Go,Completed,Indiranagar,Indiranagar,10.97,58,198.44,1.0,UPI,5.0,4.5,DRV4601,CUS15310,March,Sunday,16,Revenue
UBR100017,2025-01-22,07:49:00,Chennai,Uber Go,Completed,Guindy,Guindy,17.04,104,310.44,1.0,Cash,4.5,4.1,DRV6340,CUS21551,January,Wednesday,7,Revenue
UBR100018,2025-05-12,12:44:00,Hyderabad,Uber Go,Completed,Madhapur,Gachibowli,13.6,73,252.23,1.0,UPI,4.9,4.8,DRV8252,CUS69076,May,Monday,12,Revenue
UBR100019,2025-10-29,11:30:00,Bengaluru,Uber Auto,Completed,Indiranagar,Electronic City,6.98,35,97.32,1.0,Credit Card,5.0,4.0,DRV3139,CUS69530,October,Wednesday,11,Revenue
UBR100020,2025-09-24,15:59:00,Pune,Uber Go,Completed,Baner,Baner,6.58,29,158.57,1.0,Cash,3.0,4.7,DRV7253,CUS13951,September,Wednesday,15,Revenue
UBR100021,2025-10-14,17:52:00,Mumbai,Uber XL,Cancelled by Driver,Bandra,Powai,10.13,0,0.0,1.0,Wallet,,,DRV6568,CUS57263,October,Tuesday,17,No Revenue
UBR100022,2025-04-30,18:47:00,Bengaluru,Uber Go,Completed,Whitefield,Indiranagar,8.26,41,202.28,1.2,Debit Card,3.8,4.5,DRV4026,CUS17174,April,Wednesday,18,Revenue
UBR100023,2025-09-03,07:05:00,Hyderabad,Uber Moto,Cancelled by Customer,Secunderabad,Gachibowli,5.99,0,0.0,1.0,UPI,,,DRV7931,CUS93488,September,Wednesday,7,No Revenue
UBR100024,2025-02-25,19:47:00,Chennai,Uber XL,Completed,Velachery,Anna Nagar,7.21,33,439.85,1.5,Debit Card,3.3,5.0,DRV8433,CUS97188,February,Tuesday,19,Revenue
UBR100025,2025-02-07,18:03:00,Lucknow,Uber Go,Completed,Aliganj,Aliganj,7.81,28,174.53,1.0,Credit Card,4.9,4.5,DRV7811,CUS48073,February,Friday,18,Revenue
UBR100026,2025-09-02,21:23:00,Mumbai,Uber Auto,Completed,Dadar,Bandra,6.06,35,91.05,1.0,UPI,3.6,4.3,DRV8761,CUS23502,September,Tuesday,21,Revenue
UBR100027,2025-01-21,14:41:00,Chennai,Uber Auto,Completed,T Nagar,T Nagar,16.24,64,225.7,1.2,UPI,4.5,3.9,DRV7735,CUS91227,January,Tuesday,14,Revenue
UBR100028,2025-04-20,21:30:00,Kolkata,Uber XL,Completed,Ballygunge,Ballygunge,1.57,14,124.92,1.0,UPI,4.6,4.2,DRV2896,CUS67875,April,Sunday,21,Revenue
UBR100029,2025-04-04,20:18:00,Delhi,Uber Moto,Cancelled by Customer,Dwarka,Connaught Place,14.11,0,0.0,1.2,UPI,,,DRV1871,CUS51950,April,Friday,20,No Revenue
UBR100030,2025-05-16,13:10:00,Pune,Uber Go,Completed,Hinjewadi,Hadapsar,18.54,59,391.24,1.2,UPI,3.8,4.1,DRV4848,CUS10992,May,Friday,13,Revenue
UBR100031,2025-08-19,12:28:00,Mumbai,Uber Moto,Completed,Powai,Borivali,31.71,117,309.07,1.0,UPI,4.3,4.5,DRV5574,CUS51287,August,Tuesday,12,Revenue
UBR100032,2025-01-08,21:04:00,Delhi,Uber Moto,Completed,Dwarka,Karol Bagh,15.81,69,254.98,1.5,UPI,5.0,4.0,DRV5073,CUS12776,January,Wednesday,21,Revenue
UBR100033,2025-11-24,18:17:00,Dehradun,Uber Go,Completed,Prem Nagar,Clock Tower,4.79,33,150.72,1.0,UPI,4.4,4.4,DRV1200,CUS49771,November,Monday,18,Revenue
UBR100034,2025-10-17,21:02:00,Dehradun,Uber Premier,Completed,Sahastradhara,Sahastradhara,5.04,28,163.82,1.0,Debit Card,4.9,3.9,DRV6372,CUS96862,October,Friday,21,Revenue
UBR100035,2025-09-08,19:39:00,Lucknow,Uber Moto,Completed,Indira Nagar,Charbagh,15.52,65,178.61,1.0,Wallet,4.6,3.7,DRV4428,CUS55034,September,Monday,19,Revenue
UBR100036,2025-12-27,17:10:00,Bengaluru,Uber Go,Completed,HSR Layout,HSR Layout,11.48,57,253.53,1.2,Credit Card,4.6,4.4,DRV2548,CUS43441,December,Saturday,17,Revenue
UBR100037,2025-03-28,07:20:00,Delhi,Uber XL,Cancelled by Driver,Dwarka,Dwarka,7.44,0,0.0,1.0,Cash,,,DRV7210,CUS55605,March,Friday,7,No Revenue
UBR100038,2025-07-23,10:29:00,Jaipur,Uber Auto,Completed,Malviya Nagar,Jagatpura,6.47,34,110.52,1.0,Cash,4.0,4.3,DRV7436,CUS91518,July,Wednesday,10,Revenue
UBR100039,2025-08-07,22:18:00,Hyderabad,Uber Moto,Completed,Madhapur,Secunderabad,13.84,79,134.41,1.0,UPI,5.0,4.0,DRV8528,CUS18287,August,Thursday,22,Revenue
UBR100040,2025-08-29,11:52:00,Mumbai,Uber Auto,Completed,Dadar,Borivali,1.46,14,30.0,1.0,UPI,4.2,4.0,DRV1421,CUS49437,August,Friday,11,Revenue
UBR100041,2025-11-16,07:24:00,Chennai,Uber XL,Completed,Velachery,Anna Nagar,5.23,35,196.98,1.0,UPI,4.4,4.4,DRV8045,CUS83637,November,Sunday,7,Revenue
UBR100042,2025-09-15,18:34:00,Delhi,Uber Moto,Completed,Connaught Place,Rohini,6.85,32,76.15,1.0,Debit Card,5.0,3.9,DRV9383,CUS46175,September,Monday,18,Revenue
UBR100043,2025-04-19,18:11:00,Ghaziabad,Uber Auto,Completed,Kaushambi,Kaushambi,18.59,81,228.01,1.0,UPI,4.8,4.8,DRV2997,CUS56089,April,Saturday,18,Revenue
UBR100044,2025-09-13,10:46:00,Bengaluru,Uber XL,Completed,Koramangala,HSR Layout,7.8,41,293.32,1.0,Debit Card,4.5,4.6,DRV1533,CUS27599,September,Saturday,10,Revenue
UBR100045,2025-10-09,10:25:00,Pune,Uber Go,Completed,Hinjewadi,Kothrud,2.71,19,53.85,1.0,Cash,4.3,4.4,DRV9735,CUS55585,October,Thursday,10,Revenue
UBR100046,2025-08-08,14:54:00,Bengaluru,Uber Go,Completed,Whitefield,Koramangala,7.92,41,153.37,1.0,Credit Card,4.8,4.2,DRV6358,CUS85071,August,Friday,14,Revenue
UBR100047,2025-03-24,01:55:00,Chennai,Uber Auto,Completed,Velachery,Adyar,2.52,17,70.22,1.0,Wallet,4.5,4.3,DRV1816,CUS48329,March,Monday,1,Revenue
UBR100048,2025-04-17,19:47:00,Kolkata,Uber Auto,Completed,Howrah,Park Street,3.63,10,94.94,1.2,UPI,3.8,4.7,DRV5144,CUS38314,April,Thursday,19,Revenue
UBR100049,2025-03-10,11:04:00,Mumbai,Uber Auto,Completed,Borivali,Dadar,15.46,73,183.44,1.0,Wallet,4.0,3.6,DRV3637,CUS39183,March,Monday,11,Revenue
UBR100050,2025-04-07,20:18:00,Dehradun,Uber Moto,Cancelled by Driver,Sahastradhara,Rajpur Road,3.21,0,0.0,1.0,UPI,,,DRV9064,CUS14462,April,Monday,20,No Revenue
UBR100051,2025-07-31,19:26:00,Lucknow,Uber Moto,Completed,Aliganj,Charbagh,6.12,33,57.71,1.0,Wallet,4.2,4.8,DRV7850,CUS75632,July,Thursday,19,Revenue
UBR100052,2025-10-13,17:37:00,Ghaziabad,Uber Auto,Completed,Kaushambi,Raj Nagar,13.54,70,243.68,1.5,Credit Card,4.9,3.5,DRV6484,CUS25763,October,Monday,17,Revenue
UBR100053,2025-08-25,11:28:00,Ghaziabad,Uber XL,Completed,Raj Nagar,Kaushambi,12.77,54,418.08,1.0,UPI,3.5,4.3,DRV2983,CUS81380,August,Monday,11,Revenue
UBR100054,2025-01-08,15:11:00,Kolkata,Uber Moto,Completed,New Town,Park Street,15.64,75,187.83,1.2,Cash,3.6,4.6,DRV9810,CUS61659,January,Wednesday,15,Revenue
UBR100055,2025-10-21,14:18:00,Ghaziabad,Uber XL,Completed,Indirapuram,Raj Nagar,6.71,31,280.9,1.0,UPI,4.0,4.1,DRV9810,CUS63552,October,Tuesday,14,Revenue
UBR100056,2025-07-08,11:08:00,Delhi,Uber XL,Completed,Rohini,Saket,7.63,45,274.67,1.0,UPI,4.9,4.2,DRV8202,CUS15255,July,Tuesday,11,Revenue
UBR100057,2025-03-22,20:17:00,Mumbai,Uber Go,Completed,Dadar,Powai,16.43,63,294.05,1.0,UPI,3.5,4.7,DRV8700,CUS67956,March,Saturday,20,Revenue
UBR100058,2025-04-18,14:28:00,Delhi,Uber Moto,Completed,Saket,Rohini,19.45,71,231.58,1.0,Cash,4.1,4.1,DRV8906,CUS25327,April,Friday,14,Revenue
UBR100059,2025-11-17,20:02:00,Bengaluru,Uber Go,Completed,Electronic City,HSR Layout,6.61,45,162.34,1.0,UPI,5.0,4.1,DRV1457,CUS16855,November,Monday,20,Revenue
UBR100060,2025-03-08,07:22:00,Hyderabad,Uber Premier,Completed,Gachibowli,Madhapur,10.1,30,281.77,1.0,UPI,4.5,4.1,DRV9717,CUS61819,March,Saturday,7,Revenue
UBR100061,2025-06-23,08:29:00,Bengaluru,Uber Moto,Completed,HSR Layout,Koramangala,9.57,57,105.12,1.0,Wallet,4.6,4.6,DRV1713,CUS88850,June,Monday,8,Revenue
UBR100062,2025-12-12,23:45:00,Noida,Uber Go,Completed,Botanical Garden,Sector 62,7.47,34,147.91,1.0,Credit Card,4.1,4.5,DRV5936,CUS14694,December,Friday,23,Revenue
UBR100063,2025-12-17,16:57:00,Hyderabad,Uber XL,Cancelled by Driver,Secunderabad,Gachibowli,13.02,0,0.0,1.0,UPI,,,DRV5387,CUS67651,December,Wednesday,16,No Revenue
UBR100064,2025-11-24,15:23:00,Bengaluru,Uber Moto,Completed,Koramangala,Koramangala,18.75,92,188.89,1.0,UPI,4.1,4.5,DRV3295,CUS32077,November,Monday,15,Revenue
UBR100065,2025-02-12,15:52:00,Kolkata,Uber XL,Completed,Howrah,New Town,15.47,51,463.71,1.0,Credit Card,4.0,4.5,DRV1755,CUS44645,February,Wednesday,15,Revenue
UBR100066,2025-07-06,09:36:00,Mumbai,Uber Go,Completed,Andheri,Powai,1.13,18,86.99,1.2,UPI,4.2,4.9,DRV9537,CUS19653,July,Sunday,9,Revenue
UBR100067,2025-10-29,18:36:00,Lucknow,Uber XL,No Driver Found,Indira Nagar,Hazratganj,7.07,0,0.0,1.0,UPI,,,DRV6953,CUS91393,October,Wednesday,18,No Revenue
UBR100068,2025-07-19,06:03:00,Delhi,Uber Moto,Completed,Connaught Place,Karol Bagh,4.46,24,75.01,1.0,Cash,4.7,3.7,DRV5971,CUS23507,July,Saturday,6,Revenue
UBR100069,2025-02-08,16:56:00,Dehradun,Uber Auto,Cancelled by Driver,Clock Tower,Clock Tower,4.16,0,0.0,1.0,UPI,,,DRV8600,CUS64417,February,Saturday,16,No Revenue
UBR100070,2025-08-08,16:53:00,Lucknow,Uber Premier,Cancelled by Customer,Aliganj,Gomti Nagar,2.11,0,0.0,1.5,Cash,,,DRV6654,CUS47167,August,Friday,16,No Revenue
UBR100071,2025-11-03,21:27:00,Mumbai,Uber Moto,Completed,Borivali,Bandra,8.16,45,101.66,1.0,UPI,4.2,4.4,DRV6606,CUS42055,November,Monday,21,Revenue
UBR100072,2025-01-04,15:15:00,Delhi,Uber Moto,Completed,Connaught Place,Rohini,1.88,8,50.25,1.0,Wallet,3.8,4.0,DRV3203,CUS19900,January,Saturday,15,Revenue
UBR100073,2025-05-01,07:12:00,Noida,Uber Go,Completed,Sector 18,Sector 18,5.11,26,168.95,1.2,Cash,4.3,3.7,DRV3961,CUS53231,May,Thursday,7,Revenue
UBR100074,2025-12-02,16:07:00,Jaipur,Uber Premier,Completed,C Scheme,Mansarovar,12.93,56,421.13,1.2,UPI,4.5,4.4,DRV6189,CUS10909,December,Tuesday,16,Revenue
UBR100075,2025-03-18,06:55:00,Jaipur,Uber Moto,Completed,C Scheme,Mansarovar,12.83,50,124.17,1.0,UPI,4.0,4.4,DRV9582,CUS66708,March,Tuesday,6,Revenue
UBR100076,2025-06-28,09:52:00,Lucknow,Uber Premier,Cancelled by Driver,Indira Nagar,Gomti Nagar,10.09,0,0.0,1.0,UPI,,,DRV6914,CUS45308,June,Saturday,9,No Revenue
UBR100077,2025-05-13,02:47:00,Delhi,Uber Go,Completed,Karol Bagh,Rohini,20.71,101,371.66,1.0,Credit Card,3.6,4.3,DRV5542,CUS27515,May,Tuesday,2,Revenue
UBR100078,2025-11-07,15:59:00,Hyderabad,Uber Go,Cancelled by Customer,Hitech City,Madhapur,25.58,0,0.0,2.0,UPI,,,DRV4775,CUS45985,November,Friday,15,No Revenue
UBR100079,2025-08-17,06:24:00,Delhi,Uber Go,Completed,Dwarka,Karol Bagh,7.9,31,186.2,1.2,UPI,4.8,4.5,DRV8192,CUS68780,August,Sunday,6,Revenue
UBR100080,2025-10-03,14:01:00,Noida,Uber Premier,Completed,Sector 62,Botanical Garden,42.33,163,928.7,1.0,Wallet,3.9,5.0,DRV3422,CUS34528,October,Friday,14,Revenue
UBR100081,2025-06-01,21:29:00,Pune,Uber Go,Cancelled by Driver,Hadapsar,Baner,18.68,0,0.0,1.2,UPI,,,DRV1495,CUS59407,June,Sunday,21,No Revenue
UBR100082,2025-06-13,18:39:00,Bengaluru,Uber Go,Completed,Koramangala,Indiranagar,5.3,28,114.33,1.0,UPI,4.7,4.3,DRV9744,CUS21745,June,Friday,18,Revenue
UBR100083,2025-10-17,06:02:00,Delhi,Uber Moto,Completed,Rohini,Rohini,15.04,79,159.45,1.0,UPI,4.0,4.8,DRV8411,CUS86948,October,Friday,6,Revenue
UBR100084,2025-04-19,09:22:00,Bengaluru,Uber Go,Cancelled by Customer,Electronic City,Koramangala,5.39,0,0.0,1.0,Credit Card,,,DRV7964,CUS65027,April,Saturday,9,No Revenue
UBR100085,2025-05-06,17:28:00,Bengaluru,Uber XL,Completed,Indiranagar,HSR Layout,22.13,87,642.75,1.0,Credit Card,4.7,4.9,DRV1842,CUS64113,May,Tuesday,17,Revenue
UBR100086,2025-08-28,21:40:00,Jaipur,Uber Auto,Completed,C Scheme,C Scheme,15.4,63,211.42,1.0,UPI,5.0,4.4,DRV1128,CUS45839,August,Thursday,21,Revenue
UBR100087,2025-11-06,02:29:00,Pune,Uber XL,Completed,Hadapsar,Hinjewadi,14.18,52,463.68,1.0,Credit Card,3.9,3.8,DRV9849,CUS63702,November,Thursday,2,Revenue
UBR100088,2025-12-11,19:10:00,Ghaziabad,Uber Go,Cancelled by Customer,Kaushambi,Crossings Republik,5.3,0,0.0,1.5,UPI,,,DRV3276,CUS95009,December,Thursday,19,No Revenue
UBR100089,2025-05-26,16:20:00,Chennai,Uber Go,Completed,Guindy,Adyar,3.54,23,114.88,1.2,Wallet,4.4,4.1,DRV3331,CUS53793,May,Monday,16,Revenue
UBR100090,2025-09-09,16:26:00,Delhi,Uber Auto,Completed,Karol Bagh,Dwarka,2.87,28,53.88,1.0,Debit Card,3.6,4.7,DRV9435,CUS56397,September,Tuesday,16,Revenue
UBR100091,2025-07-02,22:23:00,Jaipur,Uber Moto,Completed,Vaishali Nagar,Jagatpura,12.23,64,127.79,1.0,Debit Card,3.9,4.2,DRV4488,CUS15964,July,Wednesday,22,Revenue
UBR100092,2025-11-05,18:51:00,Lucknow,Uber Go,Completed,Indira Nagar,Indira Nagar,9.39,50,187.83,1.0,Cash,4.7,3.6,DRV9209,CUS65526,November,Wednesday,18,Revenue
UBR100093,2025-11-02,20:30:00,Kolkata,Uber Auto,Completed,Ballygunge,Howrah,4.7,24,75.23,1.0,UPI,4.2,4.5,DRV8728,CUS74294,November,Sunday,20,Revenue
UBR100094,2025-03-13,12:29:00,Lucknow,Uber XL,Completed,Hazratganj,Indira Nagar,16.03,80,472.95,1.0,UPI,4.3,4.0,DRV7267,CUS42280,March,Thursday,12,Revenue
UBR100095,2025-08-07,16:00:00,Chennai,Uber Go,No Driver Found,Adyar,Adyar,12.54,0,0.0,1.0,UPI,,,DRV3528,CUS19197,August,Thursday,16,No Revenue
UBR100096,2025-07-26,17:00:00,Chennai,Uber Premier,Cancelled by Driver,Guindy,T Nagar,8.65,0,0.0,1.2,Credit Card,,,DRV9475,CUS75767,July,Saturday,17,No Revenue
UBR100097,2025-06-22,11:53:00,Hyderabad,Uber Moto,Completed,Gachibowli,Madhapur,13.1,60,137.74,1.0,Debit Card,4.0,3.8,DRV1361,CUS75477,June,Sunday,11,Revenue
UBR100098,2025-05-21,16:07:00,Delhi,Uber Go,Completed,Connaught Place,Rohini,13.09,64,257.5,1.0,Credit Card,3.9,4.7,DRV7350,CUS34440,May,Wednesday,16,Revenue
UBR100099,2025-09-29,09:47:00,Delhi,Uber Moto,Cancelled by Customer,Rohini,Saket,7.61,0,0.0,2.0,UPI,,,DRV5087,CUS71908,September,Monday,9,No Revenue
UBR100100,2025-08-02,08:41:00,Delhi,Uber Auto,Completed,Saket,Connaught Place,6.47,29,116.87,1.0,UPI,5.0,4.0,DRV8955,CUS89494,August,Saturday,8,Revenue
UBR100101,2025-09-26,12:33:00,Pune,Uber Go,Completed,Kothrud,Baner,12.43,44,450.69,2.0,UPI,3.8,3.8,DRV8239,CUS74014,September,Friday,12,Revenue
UBR100102,2025-01-20,18:15:00,Bengaluru,Uber Go,Completed,Whitefield,Koramangala,13.11,65,250.64,1.0,Credit Card,3.8,3.8,DRV7597,CUS92223,January,Monday,18,Revenue
UBR100103,2025-03-07,21:26:00,Chennai,Uber Premier,No Driver Found,Velachery,Adyar,5.51,0,0.0,1.2,Debit Card,,,DRV3107,CUS79715,March,Friday,21,No Revenue
UBR100104,2025-10-30,14:03:00,Ghaziabad,Uber Go,Completed,Indirapuram,Kaushambi,21.91,113,367.91,1.0,UPI,3.8,4.5,DRV5665,CUS51749,October,Thursday,14,Revenue
UBR100105,2025-05-27,17:18:00,Bengaluru,Uber Auto,Cancelled by Driver,HSR Layout,HSR Layout,11.34,0,0.0,1.2,UPI,,,DRV1979,CUS21541,May,Tuesday,17,No Revenue
UBR100106,2025-06-14,07:28:00,Hyderabad,Uber Moto,No Driver Found,Gachibowli,Secunderabad,6.36,0,0.0,1.0,Credit Card,,,DRV6632,CUS90712,June,Saturday,7,No Revenue
UBR100107,2025-11-06,21:40:00,Lucknow,Uber Go,Completed,Charbagh,Indira Nagar,6.32,41,226.62,1.5,Cash,3.9,3.9,DRV1124,CUS99261,November,Thursday,21,Revenue
UBR100108,2025-01-06,16:02:00,Mumbai,Uber XL,No Driver Found,Andheri,Dadar,4.04,0,0.0,1.0,Wallet,,,DRV4567,CUS25069,January,Monday,16,No Revenue
UBR100109,2025-01-14,19:10:00,Delhi,Uber Go,Completed,Rohini,Dwarka,9.76,40,197.02,1.2,Credit Card,4.8,4.2,DRV8102,CUS98188,January,Tuesday,19,Revenue
UBR100110,2025-05-12,19:07:00,Bengaluru,Uber Go,Completed,Whitefield,Koramangala,4.69,24,133.41,1.0,UPI,4.9,5.0,DRV5311,CUS31969,May,Monday,19,Revenue
UBR100111,2025-12-08,09:38:00,Mumbai,Uber Moto,Completed,Bandra,Borivali,8.2,47,88.77,1.0,Credit Card,4.3,5.0,DRV7505,CUS31589,December,Monday,9,Revenue
UBR100112,2025-08-31,15:32:00,Ghaziabad,Uber Go,Completed,Raj Nagar,Vaishali,12.03,69,276.39,1.2,Debit Card,4.1,3.8,DRV2488,CUS97180,August,Sunday,15,Revenue
UBR100113,2025-08-19,22:07:00,Lucknow,Uber Moto,Completed,Gomti Nagar,Hazratganj,7.6,36,77.17,1.0,UPI,4.6,4.0,DRV3651,CUS23193,August,Tuesday,22,Revenue
UBR100114,2025-08-16,06:24:00,Pune,Uber XL,Completed,Viman Nagar,Baner,9.52,38,396.81,1.2,UPI,3.9,4.8,DRV7915,CUS92248,August,Saturday,6,Revenue
UBR100115,2025-06-11,18:23:00,Noida,Uber Go,Completed,Sector 18,Botanical Garden,10.69,57,218.95,1.0,Debit Card,4.6,3.8,DRV8573,CUS57683,June,Wednesday,18,Revenue
UBR100116,2025-10-10,22:25:00,Lucknow,Uber Auto,Completed,Hazratganj,Gomti Nagar,6.47,38,69.29,1.0,Debit Card,4.7,3.8,DRV8918,CUS46057,October,Friday,22,Revenue
UBR100117,2025-09-20,10:25:00,Mumbai,Uber Go,Cancelled by Customer,Andheri,Dadar,14.09,0,0.0,1.5,Cash,,,DRV4163,CUS80544,September,Saturday,10,No Revenue
UBR100118,2025-05-11,20:16:00,Ghaziabad,Uber Premier,Completed,Crossings Republik,Crossings Republik,13.38,77,333.28,1.0,Debit Card,4.2,4.4,DRV4805,CUS52070,May,Sunday,20,Revenue
UBR100119,2025-08-13,21:26:00,Kolkata,Uber Go,Completed,Salt Lake,Park Street,10.93,52,239.65,1.2,UPI,4.1,4.7,DRV4180,CUS72100,August,Wednesday,21,Revenue
UBR100120,2025-09-15,18:28:00,Lucknow,Uber Go,Completed,Gomti Nagar,Aliganj,15.52,73,267.48,1.0,Credit Card,5.0,4.3,DRV9718,CUS90067,September,Monday,18,Revenue
UBR100121,2025-08-22,09:42:00,Ghaziabad,Uber Moto,Completed,Raj Nagar,Crossings Republik,2.65,16,48.45,1.0,Credit Card,4.2,4.8,DRV4680,CUS20024,August,Friday,9,Revenue
UBR100122,2025-12-02,11:38:00,Bengaluru,Uber Auto,Completed,Whitefield,Indiranagar,6.06,22,86.46,1.0,UPI,4.7,4.3,DRV4359,CUS14443,December,Tuesday,11,Revenue
UBR100123,2025-11-12,03:08:00,Delhi,Uber Go,Completed,Karol Bagh,Dwarka,6.33,34,173.01,1.0,UPI,4.2,4.5,DRV3911,CUS12218,November,Wednesday,3,Revenue
UBR100124,2025-01-24,20:13:00,Mumbai,Uber XL,Completed,Andheri,Bandra,25.86,112,719.95,1.0,Credit Card,3.9,3.9,DRV6972,CUS76136,January,Friday,20,Revenue
UBR100125,2025-09-28,20:04:00,Hyderabad,Uber Go,Completed,Gachibowli,Gachibowli,8.09,30,186.79,1.0,Cash,3.9,4.5,DRV5282,CUS21202,September,Sunday,20,Revenue
UBR100126,2025-04-05,17:49:00,Noida,Uber Auto,Completed,Sector 137,Greater Noida,2.83,16,47.77,1.0,Debit Card,4.4,3.7,DRV9613,CUS39511,April,Saturday,17,Revenue
UBR100127,2025-05-22,12:29:00,Noida,Uber Go,Completed,Greater Noida,Sector 18,17.61,60,274.1,1.0,UPI,4.8,4.2,DRV6330,CUS95499,May,Thursday,12,Revenue
UBR100128,2025-07-01,06:55:00,Delhi,Uber XL,Completed,Saket,Connaught Place,2.22,13,209.76,1.2,UPI,4.3,4.7,DRV2779,CUS16348,July,Tuesday,6,Revenue
UBR100129,2025-07-25,19:56:00,Chennai,Uber Go,Completed,T Nagar,T Nagar,26.91,144,540.14,1.2,UPI,4.2,3.8,DRV6913,CUS86551,July,Friday,19,Revenue
UBR100130,2025-03-22,18:54:00,Hyderabad,Uber Go,Completed,Hitech City,Banjara Hills,6.75,37,151.44,1.0,UPI,4.2,4.0,DRV1906,CUS11547,March,Saturday,18,Revenue
UBR100131,2025-10-01,21:27:00,Mumbai,Uber Go,Completed,Bandra,Bandra,12.67,47,275.41,1.0,Wallet,4.2,4.7,DRV4922,CUS28086,October,Wednesday,21,Revenue
UBR100132,2025-10-03,18:44:00,Delhi,Uber XL,Completed,Rohini,Dwarka,21.8,120,755.86,1.2,UPI,5.0,3.8,DRV6376,CUS17642,October,Friday,18,Revenue
UBR100133,2025-07-27,20:36:00,Bengaluru,Uber Go,Cancelled by Driver,Electronic City,Whitefield,9.46,0,0.0,1.0,UPI,,,DRV6527,CUS68076,July,Sunday,20,No Revenue
UBR100134,2025-10-23,18:07:00,Dehradun,Uber Go,Completed,Prem Nagar,ISBT,24.63,124,388.52,1.0,Credit Card,4.1,4.0,DRV8109,CUS26270,October,Thursday,18,Revenue
UBR100135,2025-02-08,17:14:00,Bengaluru,Uber Auto,Completed,HSR Layout,Koramangala,12.66,48,165.6,1.0,Cash,3.9,4.3,DRV3327,CUS66507,February,Saturday,17,Revenue
